br_c,cop_c,zon_hlv,zon_mcls
A041298,A04,Z17,Z17019
A041299,A04,Z17,Z17019
A041300,A04,Z17,Z17019
A041301,A04,Z17,Z17019
A041302,A04,Z17,Z17019
A041303,A04,Z10,Z10009
A041304,A04,Z17,Z17019
A041305,A04,Z17,Z17019
A041306,A04,Z17,Z17019
A041307,A04,Z17,Z17019
A041308,A04,Z17,Z17019
A041309,A04,Z17,Z17019
A041310,A04,Z10,Z10040
A041311,A04,Z10,Z10040
A041312,A04,Z10,Z10040
A041313,A04,Z10,Z10021
A041314,A04,Z10,Z10023
A041315,A04,Z10,Z10022
A041316,A04,Z10,Z10022
A041317,A04,Z10,Z10022
A041318,A04,Z10,Z10022
A041319,A04,Z10,Z10022
A041320,A04,Z10,Z10020
A041321,A04,Z10,Z10022
A041322,A04,Z10,Z10023
A041323,A04,Z10,Z10023
A041324,A04,Z10,Z10023
A041325,A04,Z10,Z10021
A041326,A04,Z10,Z10021
A041327,A04,Z10,Z10021
A041328,A04,Z10,Z10020
A041329,A04,Z10,Z10020
A041330,A04,Z10,Z10020
A041331,A04,Z10,Z10020
A041332,A04,Z10,Z10020
A041333,A04,Z10,Z10020
A041334,A04,Z10,Z10020
A041335,A04,Z10,Z10020
A041336,A04,Z10,Z10020
A041337,A04,Z10,Z10020
A041338,A04,Z10,Z10020
A041339,A04,Z10,Z10021
A041340,A04,Z10,Z10021
A041341,A04,Z10,Z10021
A041342,A04,Z10,Z10021
A041343,A04,Z10,Z10021
A041344,A04,Z10,Z10021
A041345,A04,Z10,Z10038
A041346,A04,Z10,Z10038
A041347,A04,Z10,Z10038
A041348,A04,Z10,Z10038
A041349,A04,Z10,Z10038
A041350,A04,Z10,Z10038
A041351,A04,Z10,Z10038
A041352,A04,Z10,Z10038
A041353,A04,Z10,Z10037
A041354,A04,Z10,Z10037
A041355,A04,Z10,Z10037
A041356,A04,Z10,Z10037
A041357,A04,Z10,Z10037
A041358,A04,Z10,Z10037
A041359,A04,Z10,Z10037
A041360,A04,Z10,Z10039
A041361,A04,Z10,Z10039
A041362,A04,Z10,Z10039
A041363,A04,Z10,Z10039
A041364,A04,Z10,Z10039
A041365,A04,Z10,Z10037
A041366,A04,Z10,Z10037
A041367,A04,Z10,Z10037
A041368,A04,Z10,Z10037
A041369,A04,Z10,Z10039
A041370,A04,Z10,Z10037
A041371,A04,Z10,Z10039
A041372,A04,Z10,Z10039
A041373,A04,Z10,Z10039
A041374,A04,Z10,Z10039
A041375,A04,Z10,Z10039
A041376,A04,Z10,Z10039
A041377,A04,Z10,Z10039
A041378,A04,Z10,Z10039
A041379,A04,Z10,Z10039
A041380,A04,Z10,Z10039
A041381,A04,Z10,Z10039
A041382,A04,Z10,Z10039
A041383,A04,Z10,Z10039
A041384,A04,Z10,Z10039
A041385,A04,Z10,Z10042
A041386,A04,Z10,Z10042
A041387,A04,Z10,Z10042
A041388,A04,Z10,Z10042
A041389,A04,Z10,Z10042
A041390,A04,Z10,Z10042
A041391,A04,Z10,Z10042
A041392,A04,Z10,Z10042
A041393,A04,Z10,Z10042
A041394,A04,Z10,Z10042
A041395,A04,Z10,Z10042
A041396,A04,Z10,Z10042
A041397,A04,Z10,Z10042
A041398,A04,Z10,Z10042
A041399,A04,Z10,Z10042
A041400,A04,Z10,Z10042
A041401,A04,Z10,Z10042
A041402,A04,Z10,Z10042
A041403,A04,Z10,Z10042
A041404,A04,Z10,Z10042
A041405,A04,Z10,Z10042
A041406,A04,Z10,Z10042
A041407,A04,Z10,Z10042
A041408,A04,Z10,Z10027
A041409,A04,Z10,Z10027
A041410,A04,Z10,Z10027
A041411,A04,Z10,Z10027
A041412,A04,Z10,Z10027
A041413,A04,Z10,Z10027
A041414,A04,Z10,Z10027
A041415,A04,Z10,Z10027
A041416,A04,Z10,Z10027
A041417,A04,Z10,Z10027
A041418,A04,Z10,Z10027
A041419,A04,Z10,Z10027
A041420,A04,Z10,Z10027
A041421,A04,Z10,Z10027
A041422,A04,Z10,Z10027
A041423,A04,Z10,Z10044
A041424,A04,Z10,Z10044
A041425,A04,Z10,Z10044
A041426,A04,Z10,Z10044
A041427,A04,Z10,Z10044
A041428,A04,Z10,Z10044
A041429,A04,Z10,Z10044
A041430,A04,Z10,Z10044
A041431,A04,Z10,Z10044
A041432,A04,Z10,Z10044
A041433,A04,Z10,Z10044
A041434,A04,Z10,Z10044
A041435,A04,Z10,Z10044
A041436,A04,Z10,Z10044
A041437,A04,Z10,Z10044
A041438,A04,Z10,Z10044
A041439,A04,Z10,Z10044
A041440,A04,Z10,Z10044
A041441,A04,Z10,Z10044
A041442,A04,Z10,Z10044
A041443,A04,Z10,Z10044
A041444,A04,Z10,Z10044
A041445,A04,Z10,Z10044
A041446,A04,Z10,Z10044
A041447,A04,Z10,Z10035
A041448,A04,Z10,Z10035
A041449,A04,Z10,Z10035
A041450,A04,Z10,Z10035
A041451,A04,Z10,Z10035
A041452,A04,Z10,Z10035
A041453,A04,Z10,Z10035
A041454,A04,Z10,Z10035
A041455,A04,Z10,Z10035
A041456,A04,Z10,Z10047
A041457,A04,Z10,Z10047
A041458,A04,Z10,Z10047
A041459,A04,Z10,Z10047
A041460,A04,Z10,Z10047
A041461,A04,Z10,Z10047
A041462,A04,Z10,Z10047
A041463,A04,Z10,Z10047
A041464,A04,Z10,Z10047
A041465,A04,Z10,Z10047
A041466,A04,Z10,Z10047
A041467,A04,Z10,Z10047
A041468,A04,Z10,Z10047
A041469,A04,Z10,Z10047
A041470,A04,Z10,Z10047
A041471,A04,Z10,Z10047
A041472,A04,Z10,Z10047
A041473,A04,Z10,Z10047
A041474,A04,Z10,Z10047
A041475,A04,Z10,Z10047
A041476,A04,Z10,Z10047
A041477,A04,Z10,Z10047
A041478,A04,Z10,Z10047
A041479,A04,Z10,Z10047
A041480,A04,Z10,Z10047
A041481,A04,Z10,Z10047
A041482,A04,Z10,Z10047
A041483,A04,Z10,Z10047
A041484,A04,Z10,Z10047
A041485,A04,Z10,Z10047
A041486,A04,Z10,Z10047
A041487,A04,Z10,Z10047
A041488,A04,Z10,Z10047
A041489,A04,Z10,Z10047
A041490,A04,Z10,Z10047
A041491,A04,Z10,Z10047
A041492,A04,Z10,Z10047
A041493,A04,Z10,Z10047
A041494,A04,Z10,Z10047
A041495,A04,Z10,Z10047
A041496,A04,Z10,Z10047
A041497,A04,Z01,Z01005
A041498,A04,Z01,Z01005
A041499,A04,Z01,Z01005
A041500,A04,Z01,Z01005
A041501,A04,Z01,Z01005
A041502,A04,Z01,Z01005
A041503,A04,Z01,Z01005
A041504,A04,Z01,Z01005
A041505,A04,Z01,Z01005
A041506,A04,Z01,Z01005
A041507,A04,Z01,Z01005
A041508,A04,Z01,Z01005
A041509,A04,Z01,Z01005
A041510,A04,Z01,Z01005
A041511,A04,Z01,Z01005
A041512,A04,Z01,Z01005
A041513,A04,Z01,Z01005
A041514,A04,Z01,Z01005
A041515,A04,Z01,Z01005
A041516,A04,Z01,Z01005
A041517,A04,Z01,Z01005
A041518,A04,Z01,Z01005
A041519,A04,Z01,Z01005
A041520,A04,Z01,Z01005
A041521,A04,Z01,Z01005
A041522,A04,Z01,Z01005
A041523,A04,Z01,Z01005
A041524,A04,Z01,Z01009
A041525,A04,Z01,Z01009
A041526,A04,Z01,Z01001
A041527,A04,Z04,Z04002
A041528,A04,Z01,Z01001
A041529,A04,Z01,Z01001
A041530,A04,Z01,Z01001
A041531,A04,Z01,Z01001
A041532,A04,Z01,Z01001
A041533,A04,Z01,Z01001
A041534,A04,Z01,Z01001
A041535,A04,Z04,Z04002
A041536,A04,Z01,Z01001
A041537,A04,Z04,Z04002
A041538,A04,Z04,Z04002
A041539,A04,Z01,Z01001
A041540,A04,Z04,Z04002
A041541,A04,Z04,Z04002
A041542,A04,Z01,Z01001
A041543,A04,Z01,Z01001
A041544,A04,Z01,Z01001
A041545,A04,Z01,Z01001
A041546,A04,Z01,Z01001
A041547,A04,Z01,Z01001
A041548,A04,Z01,Z01001
A041549,A04,Z01,Z01001
A041550,A04,Z01,Z01001
A041551,A04,Z01,Z01001
A041552,A04,Z01,Z01001
A041553,A04,Z01,Z01001
A041554,A04,Z01,Z01001
A041555,A04,Z01,Z01001
A041556,A04,Z01,Z01001
A041557,A04,Z01,Z01001
A041558,A04,Z01,Z01001
A041559,A04,Z01,Z01001
A041560,A04,Z01,Z01001
A041561,A04,Z01,Z01001
A041562,A04,Z01,Z01001
A041563,A04,Z01,Z01001
A041564,A04,Z01,Z01001
A041565,A04,Z01,Z01001
A041566,A04,Z04,Z04007
A041567,A04,Z04,Z04007
A041568,A04,Z04,Z04007
A041569,A04,Z04,Z04007
A041570,A04,Z04,Z04007
A041571,A04,Z04,Z04007
A041572,A04,Z04,Z04007
A041573,A04,Z04,Z04004
A041574,A04,Z04,Z04004
A041575,A04,Z04,Z04004
A041576,A04,Z01,Z01016
A041577,A04,Z01,Z01016
A041578,A04,Z04,Z04004
A041579,A04,Z01,Z01016
A041580,A04,Z01,Z01016
A041581,A04,Z01,Z01016
A041582,A04,Z01,Z01016
A041583,A04,Z01,Z01016
A041584,A04,Z04,Z04004
A041585,A04,Z04,Z04004
A041586,A04,Z04,Z04004
A041587,A04,Z04,Z04004
A041588,A04,Z04,Z04004
A041589,A04,Z01,Z01014
A041590,A04,Z01,Z01014
A041591,A04,Z01,Z01014
A041592,A04,Z01,Z01014
A041593,A04,Z01,Z01014
A041594,A04,Z01,Z01014
A041595,A04,Z01,Z01014
A041596,A04,Z01,Z01014
A041597,A04,Z01,Z01014
A041598,A04,Z01,Z01014
A041599,A04,Z04,Z04009
A041600,A04,Z04,Z04009
A041601,A04,Z04,Z04009
A041602,A04,Z01,Z01011
A041603,A04,Z01,Z01011
A041604,A04,Z01,Z01011
A041605,A04,Z04,Z04009
A041606,A04,Z01,Z01011
A041607,A04,Z04,Z04009
A041608,A04,Z01,Z01018
A041609,A04,Z01,Z01018
A041610,A04,Z01,Z01018
A041611,A04,Z04,Z04009
A041612,A04,Z01,Z01018
A041613,A04,Z01,Z01018
A041614,A04,Z01,Z01018
A041615,A04,Z01,Z01018
A041616,A04,Z01,Z01018
A041617,A04,Z01,Z01018
A041618,A04,Z04,Z04009
A041619,A04,Z01,Z01018
A041620,A04,Z04,Z04009
A041621,A04,Z01,Z01018
A041622,A04,Z01,Z01018
A041623,A04,Z01,Z01018
A041624,A04,Z01,Z01018
A041625,A04,Z01,Z01018
A041626,A04,Z01,Z01018
A041627,A04,Z01,Z01018
A041628,A04,Z01,Z01018
A041629,A04,Z01,Z01018
A041630,A04,Z01,Z01018
A041631,A04,Z01,Z01018
A041632,A04,Z01,Z01018
A041633,A04,Z01,Z01018
A041634,A04,Z01,Z01018
A041635,A04,Z01,Z01018
A041636,A04,Z01,Z01018
A041637,A04,Z01,Z01018
A041638,A04,Z01,Z01018
A041639,A04,Z01,Z01018
A041640,A04,Z01,Z01018
A041641,A04,Z01,Z01018
A041642,A04,Z01,Z01018
A041643,A04,Z01,Z01018
A041644,A04,Z01,Z01018
A041645,A04,Z01,Z01018
A041646,A04,Z01,Z01018
A041647,A04,Z04,Z04006
A041648,A04,Z04,Z04006
A041649,A04,Z04,Z04006
A041650,A04,Z04,Z04006
A041651,A04,Z04,Z04006
A041652,A04,Z04,Z04006
A041653,A04,Z04,Z04006
A041654,A04,Z04,Z04006
A041655,A04,Z04,Z04006
A041656,A04,Z04,Z04006
A041657,A04,Z04,Z04006
A041658,A04,Z04,Z04006
A041659,A04,Z04,Z04006
A041660,A04,Z04,Z04006
A041661,A04,Z04,Z04006
A041662,A04,Z04,Z04006
A041663,A04,Z04,Z04006
A041664,A04,Z04,Z04006
A041665,A04,Z04,Z04006
A041666,A04,Z04,Z04011
A041667,A04,Z04,Z04011
A041668,A04,Z04,Z04011
A041669,A04,Z04,Z04011
A041670,A04,Z04,Z04011
A041671,A04,Z04,Z04011
A041672,A04,Z04,Z04011
A041673,A04,Z04,Z04005
A041674,A04,Z04,Z04005
A041675,A04,Z01,Z01010
A041676,A04,Z01,Z01010
A041677,A04,Z01,Z01010
A041678,A04,Z04,Z04008
A041679,A04,Z04,Z04008
A041680,A04,Z04,Z04008
A041681,A04,Z04,Z04008
A041682,A04,Z04,Z04008
A041683,A04,Z04,Z04008
A041684,A04,Z04,Z04008
A041685,A04,Z04,Z04008
A041686,A04,Z04,Z04008
A041687,A04,Z04,Z04008
A041688,A04,Z04,Z04008
A041689,A04,Z04,Z04008
A041690,A04,Z04,Z04008
A041691,A04,Z04,Z04001
A041692,A04,Z04,Z04001
A041693,A04,Z04,Z04001
A041694,A04,Z04,Z04001
A041695,A04,Z04,Z04001
A041696,A04,Z04,Z04001
A041697,A04,Z04,Z04001
A041698,A04,Z04,Z04001
A041699,A04,Z04,Z04001
A041700,A04,Z04,Z04001
A041701,A04,Z04,Z04001
A041702,A04,Z01,Z01017
A041703,A04,Z04,Z04010
A041704,A04,Z04,Z04010
A041705,A04,Z04,Z04010
A041706,A04,Z04,Z04010
A041707,A04,Z01,Z01007
A041708,A04,Z01,Z01007
A041709,A04,Z01,Z01007
A041710,A04,Z01,Z01007
A041711,A04,Z01,Z01007
A041712,A04,Z01,Z01007
A041713,A04,Z01,Z01003
A041714,A04,Z01,Z01003
A041715,A04,Z01,Z01003
A041716,A04,Z01,Z01003
A041717,A04,Z01,Z01003
A041718,A04,Z01,Z01003
A041719,A04,Z01,Z01003
A041720,A04,Z01,Z01003
A041721,A04,Z01,Z01003
A041722,A04,Z01,Z01006
A041723,A04,Z01,Z01006
A041724,A04,Z01,Z01006
A041725,A04,Z01,Z01006
A041726,A04,Z01,Z01006
A041727,A04,Z01,Z01006
A041728,A04,Z01,Z01018
A041729,A04,Z01,Z01012
A041730,A04,Z01,Z01012
A041731,A04,Z01,Z01012
A041732,A04,Z01,Z01012
A041733,A04,Z01,Z01012
A041734,A04,Z01,Z01004
A041735,A04,Z01,Z01012
A041736,A04,Z01,Z01012
A041737,A04,Z01,Z01012
A041738,A04,Z01,Z01012
A041739,A04,Z01,Z01012
A041740,A04,Z01,Z01009
A041741,A04,Z01,Z01005
A041742,A04,Z01,Z01005
A041743,A04,Z01,Z01005
A041744,A04,Z01,Z01005
A041745,A04,Z01,Z01005
A041746,A04,Z01,Z01005
A041747,A04,Z01,Z01005
A041748,A04,Z01,Z01005
A041749,A04,Z01,Z01013
A041750,A04,Z01,Z01013
A041751,A04,Z01,Z01015
A041752,A04,Z01,Z01013
A041753,A04,Z01,Z01013
A041754,A04,Z01,Z01013
A041755,A04,Z01,Z01013
A041756,A04,Z01,Z01013
A041757,A04,Z01,Z01002
A041758,A04,Z01,Z01002
A041759,A04,Z01,Z01002
A041760,A04,Z01,Z01014
A041761,A04,Z01,Z01014
A041762,A04,Z01,Z01014
A041763,A04,Z01,Z01016
A041764,A04,Z01,Z01016
A041765,A04,Z01,Z01016
A041766,A04,Z01,Z01008
A041767,A04,Z01,Z01008
A041768,A04,Z01,Z01008
A041769,A04,Z01,Z01008
A041770,A04,Z01,Z01008
A041771,A04,Z01,Z01008
A041772,A04,Z01,Z01008
A041773,A04,Z01,Z01008
A041774,A04,Z01,Z01008
A041775,A04,Z01,Z01008
A041776,A04,Z01,Z01002
A041777,A04,Z01,Z01002
A041778,A04,Z01,Z01002
A041779,A04,Z01,Z01002
A041780,A04,Z01,Z01002
A041781,A04,Z01,Z01007
A041782,A04,Z01,Z01007
A041783,A04,Z01,Z01001
A041784,A04,Z01,Z01001
A041785,A04,Z01,Z01001
A041786,A04,Z01,Z01001
A041787,A04,Z01,Z01001
A041788,A04,Z01,Z01001
A041789,A04,Z01,Z01001
A041790,A04,Z01,Z01001
A041791,A04,Z01,Z01001
A041792,A04,Z01,Z01001
A041793,A04,Z01,Z01015
A041794,A04,Z01,Z01012
A041795,A04,Z01,Z01012
A041796,A04,Z01,Z01012
A041797,A04,Z01,Z01012
A041798,A04,Z01,Z01013
A041799,A04,Z01,Z01013
A041800,A04,Z01,Z01013
A041801,A04,Z01,Z01013
A041802,A04,Z01,Z01013
A041803,A04,Z01,Z01013
A041804,A04,Z01,Z01003
A041805,A04,Z01,Z01017
A041806,A04,Z01,Z01018
A041807,A04,Z01,Z01018
A041808,A04,Z01,Z01018
A041809,A04,Z01,Z01018
A041810,A04,Z01,Z01018
A041811,A04,Z01,Z01018
A041812,A04,Z01,Z01018
A041813,A04,Z01,Z01018
A041814,A04,Z01,Z01018
A041815,A04,Z01,Z01018
A041816,A04,Z01,Z01018
A041817,A04,Z01,Z01018
A041818,A04,Z01,Z01018
A041819,A04,Z01,Z01018
A041820,A04,Z01,Z01004
A041821,A04,Z01,Z01004
A041822,A04,Z01,Z01004
A041823,A04,Z01,Z01004
A041824,A04,Z01,Z01004
A041825,A04,Z09,Z09002
A041826,A04,Z09,Z09007
A041827,A04,Z09,Z09007
A041828,A04,Z09,Z09007
A041829,A04,Z09,Z09007
A041830,A04,Z09,Z09007
A041831,A04,Z09,Z09007
A041832,A04,Z09,Z09015
A041833,A04,Z09,Z09015
A041834,A04,Z09,Z09015
A041835,A04,Z09,Z09015
A041836,A04,Z09,Z09015
A041837,A04,Z09,Z09015
A041838,A04,Z09,Z09015
A041839,A04,Z09,Z09015
A041840,A04,Z09,Z09015
A041841,A04,Z09,Z09015
A041842,A04,Z09,Z09015
A041843,A04,Z09,Z09015
A041844,A04,Z09,Z09015
A041845,A04,Z09,Z09015
A041846,A04,Z09,Z09015
A041847,A04,Z09,Z09015
A041848,A04,Z09,Z09006
A041849,A04,Z09,Z09006
A041850,A04,Z09,Z09006
A041851,A04,Z09,Z09006
A041852,A04,Z09,Z09006
A041853,A04,Z09,Z09006
A041854,A04,Z09,Z09006
A041855,A04,Z09,Z09006
A041856,A04,Z09,Z09006
A041857,A04,Z09,Z09006
A041858,A04,Z09,Z09009
A041859,A04,Z09,Z09009
A041860,A04,Z09,Z09009
A041861,A04,Z09,Z09009
A041862,A04,Z09,Z09009
A041863,A04,Z09,Z09009
A041864,A04,Z09,Z09009
A041865,A04,Z09,Z09009
A041866,A04,Z09,Z09009
A041867,A04,Z09,Z09009
A041868,A04,Z09,Z09009
A041869,A04,Z09,Z09008
A041870,A04,Z09,Z09008
A041871,A04,Z09,Z09001
A041872,A04,Z09,Z09013
A041873,A04,Z09,Z09014
A041874,A04,Z09,Z09014
A041875,A04,Z09,Z09013
A041876,A04,Z09,Z09013
A041877,A04,Z09,Z09013
A041878,A04,Z09,Z09014
A041879,A04,Z09,Z09012
A041880,A04,Z09,Z09011
A041881,A04,Z09,Z09014
A041882,A04,Z09,Z09013
A041883,A04,Z09,Z09014
A041884,A04,Z09,Z09014
A041885,A04,Z09,Z09014
A041886,A04,Z09,Z09014
A041887,A04,Z09,Z09014
A041888,A04,Z09,Z09014
A041889,A04,Z09,Z09014
A041890,A04,Z09,Z09014
A041891,A04,Z09,Z09014
A041892,A04,Z09,Z09014
A041893,A04,Z09,Z09014
A041894,A04,Z09,Z09013
A041895,A04,Z09,Z09013
A041896,A04,Z09,Z09013
A041897,A04,Z09,Z09011
A041898,A04,Z09,Z09011
A041899,A04,Z09,Z09011
A041900,A04,Z09,Z09012
A041901,A04,Z09,Z09014
A041902,A04,Z09,Z09014
A041903,A04,Z09,Z09014
A041904,A04,Z09,Z09012
A041905,A04,Z09,Z09012
A041906,A04,Z09,Z09011
A041907,A04,Z09,Z09011
A041908,A04,Z09,Z09011
A041909,A04,Z09,Z09012
A041910,A04,Z02,Z02001
A041911,A04,Z15,Z15002
A041912,A04,Z15,Z15002
A041913,A04,Z15,Z15002
A041914,A04,Z15,Z15002
A041915,A04,Z02,Z02001
A041916,A04,Z15,Z15002
A041917,A04,Z02,Z02001
A041918,A04,Z02,Z02001
A041919,A04,Z02,Z02001
A041920,A04,Z02,Z02001
A041921,A04,Z02,Z02001
A041922,A04,Z02,Z02001
A041923,A04,Z15,Z15002
A041924,A04,Z15,Z15002
A041925,A04,Z15,Z15002
A041926,A04,Z15,Z15002
A041927,A04,Z15,Z15002
A041928,A04,Z02,Z02001
A041929,A04,Z15,Z15005
A041930,A04,Z15,Z15005
A041931,A04,Z15,Z15005
A041932,A04,Z15,Z15005
A041933,A04,Z02,Z02001
A041934,A04,Z02,Z02001
A041935,A04,Z02,Z02001
A041936,A04,Z15,Z15005
A041937,A04,Z02,Z02001
A041938,A04,Z02,Z02001
A041939,A04,Z02,Z02001
A041940,A04,Z02,Z02001
A041941,A04,Z02,Z02001
A041942,A04,Z02,Z02001
A041943,A04,Z02,Z02001
A041944,A04,Z02,Z02001
A041945,A04,Z15,Z15005
A041946,A04,Z15,Z15005
A041947,A04,Z15,Z15005
A041948,A04,Z15,Z15005
A041949,A04,Z15,Z15005
A041950,A04,Z15,Z15005
A041951,A04,Z15,Z15005
A041952,A04,Z15,Z15005
A041953,A04,Z15,Z15005
A041954,A04,Z15,Z15005
A041955,A04,Z15,Z15005
A041956,A04,Z15,Z15003
A041957,A04,Z15,Z15003
A041958,A04,Z15,Z15003
A041959,A04,Z15,Z15003
A041960,A04,Z15,Z15003
A041961,A04,Z15,Z15003
A041962,A04,Z15,Z15003
A041963,A04,Z15,Z15003
A041964,A04,Z15,Z15003
A041965,A04,Z15,Z15003
A041966,A04,Z15,Z15003
A041967,A04,Z15,Z15003
A041968,A04,Z15,Z15003
A041969,A04,Z15,Z15003
A041970,A04,Z15,Z15003
A041971,A04,Z15,Z15003
A041972,A04,Z15,Z15003
A041973,A04,Z15,Z15003
A041974,A04,Z15,Z15003
A041975,A04,Z15,Z15003
A041976,A04,Z15,Z15003
A041977,A04,Z15,Z15003
A041978,A04,Z15,Z15003
A041979,A04,Z15,Z15003
A041980,A04,Z15,Z15003
A041981,A04,Z15,Z15003
A041982,A04,Z15,Z15003
A041983,A04,Z15,Z15003
A041984,A04,Z15,Z15003
A041985,A04,Z15,Z15003
A041986,A04,Z15,Z15003
A041987,A04,Z15,Z15003
A041988,A04,Z15,Z15003
A041989,A04,Z15,Z15003
A041990,A04,Z15,Z15003
A041991,A04,Z15,Z15004
A041992,A04,Z15,Z15004
A041993,A04,Z15,Z15004
A041994,A04,Z15,Z15004
A041995,A04,Z15,Z15004
A041996,A04,Z15,Z15004
A041997,A04,Z15,Z15004
A041998,A04,Z15,Z15004
A041999,A04,Z15,Z15004
A042000,A04,Z15,Z15004
A042001,A04,Z15,Z15004
A042002,A04,Z15,Z15004
A042003,A04,Z15,Z15004
A042004,A04,Z15,Z15004
A042005,A04,Z15,Z15004
A042006,A04,Z15,Z15004
A042007,A04,Z15,Z15004
A042008,A04,Z15,Z15004
A042009,A04,Z15,Z15004
A042010,A04,Z15,Z15004
A042011,A04,Z15,Z15004
A042012,A04,Z15,Z15004
A042013,A04,Z15,Z15004
A042014,A04,Z15,Z15004
A042015,A04,Z15,Z15004
A042016,A04,Z15,Z15004
A042017,A04,Z15,Z15004
A042018,A04,Z15,Z15001
A042019,A04,Z15,Z15001
A042020,A04,Z15,Z15001
A042021,A04,Z15,Z15001
A042022,A04,Z15,Z15001
A042023,A04,Z15,Z15001
A042024,A04,Z15,Z15001
A042025,A04,Z15,Z15001
A042026,A04,Z15,Z15001
A042027,A04,Z15,Z15001
A042028,A04,Z15,Z15001
A042029,A04,Z15,Z15001
A042030,A04,Z15,Z15001
A042031,A04,Z15,Z15001
A042032,A04,Z15,Z15001
A042033,A04,Z15,Z15001
A042034,A04,Z15,Z15001
A042035,A04,Z15,Z15001
A042036,A04,Z15,Z15001
A042037,A04,Z15,Z15001
A042038,A04,Z08,Z08015
A042039,A04,Z08,Z08015
A042040,A04,Z08,Z08015
A042041,A04,Z08,Z08015
A042042,A04,Z08,Z08015
A042043,A04,Z08,Z08015
A042044,A04,Z08,Z08015
A042045,A04,Z08,Z08015
A042046,A04,Z08,Z08015
A042047,A04,Z08,Z08015
A042048,A04,Z08,Z08015
A042049,A04,Z08,Z08015
A042050,A04,Z08,Z08015
A042051,A04,Z08,Z08015
A042052,A04,Z08,Z08015
A042053,A04,Z08,Z08015
A042054,A04,Z08,Z08015
A042055,A04,Z08,Z08015
A042056,A04,Z08,Z08014
A042057,A04,Z08,Z08014
A042058,A04,Z08,Z08014
A042059,A04,Z08,Z08014
A042060,A04,Z08,Z08014
A042061,A04,Z08,Z08014
A042062,A04,Z08,Z08003
A042063,A04,Z08,Z08003
A042064,A04,Z08,Z08002
A042065,A04,Z08,Z08002
A042066,A04,Z08,Z08002
A042067,A04,Z08,Z08002
A042068,A04,Z08,Z08002
A042069,A04,Z08,Z08011
A042070,A04,Z08,Z08011
A042071,A04,Z08,Z08011
A042072,A04,Z08,Z08011
A042073,A04,Z08,Z08011
A042074,A04,Z08,Z08011
A042075,A04,Z08,Z08011
A042076,A04,Z08,Z08011
A042077,A04,Z08,Z08011
A042078,A04,Z08,Z08011
A042079,A04,Z08,Z08011
A042080,A04,Z08,Z08002
A042081,A04,Z08,Z08002
A042082,A04,Z08,Z08002
A042083,A04,Z08,Z08002
A042084,A04,Z08,Z08002
A042085,A04,Z08,Z08002
A042086,A04,Z08,Z08002
A042087,A04,Z08,Z08011
A042088,A04,Z08,Z08011
A042089,A04,Z08,Z08011
A042090,A04,Z08,Z08006
A042091,A04,Z08,Z08006
A042092,A04,Z08,Z08006
A042093,A04,Z08,Z08006
A042094,A04,Z08,Z08006
A042095,A04,Z08,Z08006
A042096,A04,Z08,Z08006
A042097,A04,Z08,Z08006
A042098,A04,Z08,Z08006
A042099,A04,Z08,Z08006
A042100,A04,Z08,Z08006
A042101,A04,Z08,Z08006
A042102,A04,Z08,Z08006
A042103,A04,Z08,Z08009
A042104,A04,Z08,Z08009
A042105,A04,Z08,Z08009
A042106,A04,Z08,Z08009
A042107,A04,Z08,Z08009
A042108,A04,Z08,Z08009
A042109,A04,Z08,Z08009
A042110,A04,Z08,Z08004
A042111,A04,Z08,Z08004
A042112,A04,Z08,Z08004
A042113,A04,Z08,Z08017
A042114,A04,Z08,Z08017
A042115,A04,Z08,Z08017
A042116,A04,Z08,Z08001
A042117,A04,Z08,Z08001
A042118,A04,Z08,Z08001
A042119,A04,Z08,Z08001
A042120,A04,Z08,Z08018
A042121,A04,Z08,Z08018
A042122,A04,Z08,Z08018
A042123,A04,Z08,Z08018
A042124,A04,Z08,Z08018
A042125,A04,Z08,Z08008
A042126,A04,Z08,Z08008
A042127,A04,Z08,Z08008
A042128,A04,Z08,Z08012
A042129,A04,Z08,Z08012
A042130,A04,Z08,Z08002
A042131,A04,Z08,Z08010
A042132,A04,Z08,Z08010
A042133,A04,Z08,Z08010
A042134,A04,Z08,Z08010
A042135,A04,Z08,Z08010
A042136,A04,Z08,Z08010
A042137,A04,Z08,Z08003
A042138,A04,Z08,Z08001
A042139,A04,Z08,Z08004
A042140,A04,Z08,Z08014
A042141,A04,Z08,Z08013
A042142,A04,Z08,Z08014
A042143,A04,Z08,Z08014
A042144,A04,Z08,Z08013
A042145,A04,Z08,Z08014
A042146,A04,Z08,Z08013
A042147,A04,Z08,Z08013
A042148,A04,Z08,Z08014
A042149,A04,Z08,Z08014
A042150,A04,Z08,Z08013
A042151,A04,Z08,Z08014
A042152,A04,Z08,Z08014
A042153,A04,Z08,Z08014
A042154,A04,Z08,Z08014
A042155,A04,Z08,Z08014
A042156,A04,Z08,Z08014
A042157,A04,Z08,Z08014
A042158,A04,Z08,Z08014
A042159,A04,Z08,Z08014
A042160,A04,Z08,Z08014
A042161,A04,Z08,Z08014
A042162,A04,Z08,Z08014
A042163,A04,Z08,Z08014
A042164,A04,Z08,Z08014
A042165,A04,Z08,Z08014
A042166,A04,Z08,Z08014
A042167,A04,Z08,Z08014
A042168,A04,Z08,Z08014
A042169,A04,Z08,Z08014
A042170,A04,Z08,Z08015
