,pd_c,pd_nm,clac_hlv_nm,clac_mcls_nm,l_pd,m_pd
428,PD0429,일반노트,문구/사무용품,노트,L0020,M0086
429,PD0430,초등노트,문구/사무용품,노트,L0020,M0086
430,PD0431,물감,문구/사무용품,미술용품,L0020,M0107
431,PD0432,색연필,문구/사무용품,미술용품,L0020,M0107
432,PD0433,파스텔,문구/사무용품,미술용품,L0020,M0107
433,PD0434,크레파스,문구/사무용품,미술용품,L0020,M0107
434,PD0435,붓,문구/사무용품,미술용품,L0020,M0107
435,PD0436,채색도구,문구/사무용품,미술용품,L0020,M0107
436,PD0437,스케치북,문구/사무용품,미술용품,L0020,M0107
437,PD0438,도화지/미술용지,문구/사무용품,미술용품,L0020,M0107
438,PD0439,색종이,문구/사무용품,미술용품,L0020,M0107
439,PD0440,조각/만들기용품,문구/사무용품,미술용품,L0020,M0107
440,PD0441,제본기,문구/사무용품,사무기기,L0020,M0130
441,PD0442,절단기,문구/사무용품,사무기기,L0020,M0130
442,PD0443,파쇄기,문구/사무용품,사무기기,L0020,M0130
443,PD0444,포스트잇,문구/사무용품,사무용지/서식지,L0020,M0132
444,PD0445,견출지/분류스티커,문구/사무용품,사무용지/서식지,L0020,M0132
445,PD0446,봉투류,문구/사무용품,사무용지/서식지,L0020,M0132
446,PD0447,서식지,문구/사무용품,사무용지/서식지,L0020,M0132
447,PD0448,라벨/전용지,문구/사무용품,사무용지/서식지,L0020,M0132
448,PD0449,복사용지,문구/사무용품,사무용지/서식지,L0020,M0132
449,PD0450,코팅필름,문구/사무용품,사무용지/서식지,L0020,M0132
450,PD0451,테이프,문구/사무용품,일반문구/사무용품,L0020,M0267
451,PD0452,풀,문구/사무용품,일반문구/사무용품,L0020,M0267
452,PD0453,펀치류,문구/사무용품,일반문구/사무용품,L0020,M0267
453,PD0454,스테이플러,문구/사무용품,일반문구/사무용품,L0020,M0267
454,PD0455,집게/클립,문구/사무용품,일반문구/사무용품,L0020,M0267
455,PD0456,칼/가위,문구/사무용품,일반문구/사무용품,L0020,M0267
456,PD0457,자/제도용품,문구/사무용품,일반문구/사무용품,L0020,M0267
457,PD0458,전자계산기,문구/사무용품,일반문구/사무용품,L0020,M0267
458,PD0459,싸인물/자석/압핀,문구/사무용품,일반문구/사무용품,L0020,M0267
459,PD0460,보드류,문구/사무용품,일반문구/사무용품,L0020,M0267
460,PD0461,파일/바인더,문구/사무용품,일반문구/사무용품,L0020,M0267
461,PD0462,서류정리용품,문구/사무용품,일반문구/사무용품,L0020,M0267
462,PD0463,책상정리용품,문구/사무용품,일반문구/사무용품,L0020,M0267
463,PD0464,독서대,문구/사무용품,일반문구/사무용품,L0020,M0267
464,PD0465,명함정리용품,문구/사무용품,일반문구/사무용품,L0020,M0267
465,PD0466,기타일반문구/사무용품,문구/사무용품,일반문구/사무용품,L0020,M0267
466,PD0467,문구세트,문구/사무용품,일반문구/사무용품,L0020,M0267
467,PD0468,앨범,문구/사무용품,파티/팬시용품,L0020,M0330
468,PD0469,패션스티커,문구/사무용품,파티/팬시용품,L0020,M0330
469,PD0470,편지지/편지봉투,문구/사무용품,파티/팬시용품,L0020,M0330
470,PD0471,카드,문구/사무용품,파티/팬시용품,L0020,M0330
471,PD0472,포장용품,문구/사무용품,파티/팬시용품,L0020,M0330
472,PD0473,쇼핑백,문구/사무용품,파티/팬시용품,L0020,M0330
473,PD0474,불꽃놀이,문구/사무용품,파티/팬시용품,L0020,M0330
474,PD0475,파티장식/소품,문구/사무용품,파티/팬시용품,L0020,M0330
475,PD0476,풍선,문구/사무용품,파티/팬시용품,L0020,M0330
476,PD0477,크리스마스용품,문구/사무용품,파티/팬시용품,L0020,M0330
477,PD0478,할로윈용품,문구/사무용품,파티/팬시용품,L0020,M0330
478,PD0479,화투/카드,문구/사무용품,파티/팬시용품,L0020,M0330
479,PD0480,기타파티/팬시용품,문구/사무용품,파티/팬시용품,L0020,M0330
480,PD0481,연필,문구/사무용품,필기도구,L0020,M0336
481,PD0482,볼펜,문구/사무용품,필기도구,L0020,M0336
482,PD0483,만년필,문구/사무용품,필기도구,L0020,M0336
483,PD0484,매직/보드마카,문구/사무용품,필기도구,L0020,M0336
484,PD0485,형광펜,문구/사무용품,필기도구,L0020,M0336
485,PD0486,사인펜,문구/사무용품,필기도구,L0020,M0336
486,PD0487,샤프/샤프심,문구/사무용품,필기도구,L0020,M0336
487,PD0488,필통,문구/사무용품,필기도구,L0020,M0336
488,PD0489,연필깎이,문구/사무용품,필기도구,L0020,M0336
489,PD0490,수정용품,문구/사무용품,필기도구,L0020,M0336
490,PD0491,필기도구소모품,문구/사무용품,필기도구,L0020,M0336
491,PD0492,필기구세트,문구/사무용품,필기도구,L0020,M0336
492,PD0493,채소병통조림,병통조림,농산물병통조림,L0021,M0088
493,PD0494,과일병통조림,병통조림,농산물병통조림,L0021,M0088
494,PD0495,햄통조림세트,병통조림,병통조림선물세트,L0021,M0119
495,PD0496,참치통조림세트,병통조림,병통조림선물세트,L0021,M0119
496,PD0497,통조림혼합세트,병통조림,병통조림선물세트,L0021,M0119
497,PD0498,참치통조림,병통조림,수산물통조림,L0021,M0154
498,PD0499,골뱅이통조림,병통조림,수산물통조림,L0021,M0154
499,PD0500,꽁치고등어통조림,병통조림,수산물통조림,L0021,M0154
500,PD0501,기타수산통조림,병통조림,수산물통조림,L0021,M0154
501,PD0502,과일잼,병통조림,잼,L0021,M0280
502,PD0503,스프레드,병통조림,잼,L0021,M0280
503,PD0504,햄통조림,병통조림,축산물통조림,L0021,M0311
504,PD0505,닭고기통조림,병통조림,축산물통조림,L0021,M0311
505,PD0506,기타축산통조림,병통조림,축산물통조림,L0021,M0311
506,PD0507,백화점/마트모바일상품권,상품권,모바일상품권,L0022,M0103
507,PD0508,영화/문화모바일상품권,상품권,모바일상품권,L0022,M0103
508,PD0509,레저모바일상품권,상품권,모바일상품권,L0022,M0103
509,PD0510,생활모바일상품권,상품권,모바일상품권,L0022,M0103
510,PD0511,식음료모바일상품권,상품권,모바일상품권,L0022,M0103
511,PD0512,온라인/모바일컨텐츠,상품권,모바일상품권,L0022,M0103
512,PD0513,교통카드판매,상품권,생활요금상품판매/충전,L0022,M0139
513,PD0514,영화/문화/도서상품권,상품권,지류상품권,L0022,M0302
514,PD0515,외식/음료/디저트상품권,상품권,지류상품권,L0022,M0302
515,PD0516,제화/패션/주유상품권,상품권,지류상품권,L0022,M0302
516,PD0517,악기/교육렌탈,생활/렌탈서비스,렌탈서비스,L0023,M0097
517,PD0518,안마의자/헬스/이미용렌탈,생활/렌탈서비스,렌탈서비스,L0023,M0097
518,PD0519,그림/인테리어렌탈,생활/렌탈서비스,렌탈서비스,L0023,M0097
519,PD0520,자동차/레저렌탈,생활/렌탈서비스,렌탈서비스,L0023,M0097
520,PD0521,택배,생활/렌탈서비스,생활서비스,L0023,M0138
521,PD0522,복권판매,생활/렌탈서비스,생활서비스,L0023,M0138
522,PD0523,배달서비스,생활/렌탈서비스,생활서비스,L0023,M0138
523,PD0524,이사/청소/수선/세탁서비스,생활/렌탈서비스,생활서비스,L0023,M0138
524,PD0525,문화/스포츠센터,생활/렌탈서비스,생활서비스,L0023,M0138
525,PD0526,도서/교육,생활/렌탈서비스,생활서비스,L0023,M0138
526,PD0527,핸드폰충전,생활/렌탈서비스,생활서비스,L0023,M0138
527,PD0528,사진인화서비스,생활/렌탈서비스,생활서비스,L0023,M0138
528,PD0529,기타생활서비스,생활/렌탈서비스,생활서비스,L0023,M0138
529,PD0530,제습기,생활/주방가전,공기청정/가습/제습,L0024,M0024
530,PD0531,가습기,생활/주방가전,공기청정/가습/제습,L0024,M0024
531,PD0532,공기청정기,생활/주방가전,공기청정/가습/제습,L0024,M0024
532,PD0533,에어워셔,생활/주방가전,공기청정/가습/제습,L0024,M0024
533,PD0534,다리미,생활/주방가전,생활가전,L0024,M0137
534,PD0535,의류스타일러,생활/주방가전,생활가전,L0024,M0137
535,PD0536,보풀제거기,생활/주방가전,생활가전,L0024,M0137
536,PD0537,비데,생활/주방가전,생활가전,L0024,M0137
537,PD0538,연수기,생활/주방가전,생활가전,L0024,M0137
538,PD0539,헤어드라이어,생활/주방가전,이미용가전,L0024,M0262
539,PD0540,고데기,생활/주방가전,이미용가전,L0024,M0262
540,PD0541,헤어세팅기,생활/주방가전,이미용가전,L0024,M0262
541,PD0542,헤어롤,생활/주방가전,이미용가전,L0024,M0262
542,PD0543,이발기,생활/주방가전,이미용가전,L0024,M0262
543,PD0544,전기면도기,생활/주방가전,이미용가전,L0024,M0262
544,PD0545,제모기,생활/주방가전,이미용가전,L0024,M0262
545,PD0546,기타이미용가전,생활/주방가전,이미용가전,L0024,M0262
546,PD0547,전화기,생활/주방가전,전화기,L0024,M0286
547,PD0548,전기밥솥,생활/주방가전,주방가전,L0024,M0296
548,PD0549,전기찜기,생활/주방가전,주방가전,L0024,M0296
549,PD0550,전기튀김기,생활/주방가전,주방가전,L0024,M0296
550,PD0551,오븐/전자레인지,생활/주방가전,주방가전,L0024,M0296
551,PD0552,전기프라이팬,생활/주방가전,주방가전,L0024,M0296
552,PD0553,전기그릴,생활/주방가전,주방가전,L0024,M0296
553,PD0554,인덕션/가스레인지,생활/주방가전,주방가전,L0024,M0296
554,PD0555,전기냄비/뚝배기,생활/주방가전,주방가전,L0024,M0296
555,PD0556,커피메이커/포트,생활/주방가전,주방가전,L0024,M0296
556,PD0557,커피머신,생활/주방가전,주방가전,L0024,M0296
557,PD0558,블랜더,생활/주방가전,주방가전,L0024,M0296
558,PD0559,토스터/제빵기,생활/주방가전,주방가전,L0024,M0296
559,PD0560,요구르트/청국장제조기,생활/주방가전,주방가전,L0024,M0296
560,PD0561,기타주방가전,생활/주방가전,주방가전,L0024,M0296
561,PD0562,정수기,생활/주방가전,주방가전,L0024,M0296
562,PD0563,식기세척기,생활/주방가전,주방가전,L0024,M0296
563,PD0564,식기건조기,생활/주방가전,주방가전,L0024,M0296
564,PD0565,음식물건조기,생활/주방가전,주방가전,L0024,M0296
565,PD0566,일반청소기,생활/주방가전,청소기,L0024,M0306
566,PD0567,로봇청소기,생활/주방가전,청소기,L0024,M0306
567,PD0568,핸디형청소기,생활/주방가전,청소기,L0024,M0306
568,PD0569,스팀청소기,생활/주방가전,청소기,L0024,M0306
569,PD0570,물걸레청소기,생활/주방가전,청소기,L0024,M0306
570,PD0571,침구청소기,생활/주방가전,청소기,L0024,M0306
571,PD0572,기타청소기,생활/주방가전,청소기,L0024,M0306
572,PD0573,유아서적,서적/음반/악기,서적,L0025,M0140
573,PD0574,아동서적,서적/음반/악기,서적,L0025,M0140
574,PD0575,일반서적,서적/음반/악기,서적,L0025,M0140
575,PD0576,참고서/수험서,서적/음반/악기,서적,L0025,M0140
576,PD0577,신문/잡지,서적/음반/악기,서적,L0025,M0140
577,PD0578,서적세트,서적/음반/악기,서적,L0025,M0140
578,PD0579,현악기,서적/음반/악기,악기,L0025,M0179
579,PD0580,관악기,서적/음반/악기,악기,L0025,M0179
580,PD0581,타악기,서적/음반/악기,악기,L0025,M0179
581,PD0582,건반악기,서적/음반/악기,악기,L0025,M0179
582,PD0583,국악악기,서적/음반/악기,악기,L0025,M0179
583,PD0584,전자악기,서적/음반/악기,악기,L0025,M0179
584,PD0585,악기부품/액세서리,서적/음반/악기,악기,L0025,M0179
585,PD0586,음반,서적/음반/악기,음반/영상물,L0025,M0261
586,PD0587,영상물,서적/음반/악기,음반/영상물,L0025,M0261
587,PD0588,방향제,세제/위생,방향/제습/탈취제,L0026,M0112
588,PD0589,탈취제,세제/위생,방향/제습/탈취제,L0026,M0112
589,PD0590,섬유용탈취제,세제/위생,방향/제습/탈취제,L0026,M0112
590,PD0591,제습제,세제/위생,방향/제습/탈취제,L0026,M0112
591,PD0592,파리/모기살충제,세제/위생,살충/방충제,L0026,M0134
592,PD0593,개미/바퀴살충제,세제/위생,살충/방충제,L0026,M0134
593,PD0594,방충제,세제/위생,살충/방충제,L0026,M0134
594,PD0595,분말세탁세제,세제/위생,세탁세제,L0026,M0147
595,PD0596,액상세탁세제,세제/위생,세탁세제,L0026,M0147
596,PD0597,세탁비누,세제/위생,세탁세제,L0026,M0147
597,PD0598,분말표백제,세제/위생,세탁세제,L0026,M0147
598,PD0599,액상표백제,세제/위생,세탁세제,L0026,M0147
599,PD0600,부분세탁제,세제/위생,세탁세제,L0026,M0147
600,PD0601,섬유유연제/향기지속제,세제/위생,세탁세제,L0026,M0147
601,PD0602,특수용세탁세제,세제/위생,세탁세제,L0026,M0147
602,PD0603,일반주방세제,세제/위생,주방세제,L0026,M0297
603,PD0604,다목적주방세제,세제/위생,주방세제,L0026,M0297
604,PD0605,주방용청소세제,세제/위생,청소세제,L0026,M0307
605,PD0606,락스,세제/위생,청소세제,L0026,M0307
606,PD0607,곰팡이제거제/차단제,세제/위생,청소세제,L0026,M0307
607,PD0608,욕실전용청소세제,세제/위생,청소세제,L0026,M0307
608,PD0609,세정제,세제/위생,청소세제,L0026,M0307
609,PD0610,광택제,세제/위생,청소세제,L0026,M0307
610,PD0611,롤티슈,세제/위생,화장지/티슈,L0026,M0349
611,PD0612,각티슈/미용티슈,세제/위생,화장지/티슈,L0026,M0349
612,PD0613,물티슈,세제/위생,화장지/티슈,L0026,M0349
613,PD0614,키친타올,세제/위생,화장지/티슈,L0026,M0349
614,PD0615,냅킨,세제/위생,화장지/티슈,L0026,M0349
615,PD0616,남성팬티,속옷/양말/홈웨어,남성속옷,L0027,M0055
616,PD0617,남성런닝셔츠,속옷/양말/홈웨어,남성속옷,L0027,M0055
617,PD0618,남성내의,속옷/양말/홈웨어,남성속옷,L0027,M0055
618,PD0619,남성속옷세트,속옷/양말/홈웨어,남성속옷,L0027,M0055
619,PD0620,남성일반양말,속옷/양말/홈웨어,남성양말류,L0027,M0057
620,PD0621,남성발가락양말,속옷/양말/홈웨어,남성양말류,L0027,M0057
621,PD0622,남성수면양말,속옷/양말/홈웨어,남성양말류,L0027,M0057
622,PD0623,남성덧신류,속옷/양말/홈웨어,남성양말류,L0027,M0057
623,PD0624,남성캐쥬얼스포츠양말,속옷/양말/홈웨어,남성양말류,L0027,M0057
624,PD0625,남성양말선물세트,속옷/양말/홈웨어,남성양말류,L0027,M0057
625,PD0626,기타남성양말류,속옷/양말/홈웨어,남성양말류,L0027,M0057
626,PD0627,남여속옷세트,속옷/양말/홈웨어,속옷/양말/홈웨어세트,L0027,M0152
627,PD0628,남여양말세트,속옷/양말/홈웨어,속옷/양말/홈웨어세트,L0027,M0152
628,PD0629,기타속옷/양말/홈웨어세트,속옷/양말/홈웨어,속옷/양말/홈웨어세트,L0027,M0152
629,PD0630,브래지어,속옷/양말/홈웨어,여성속옷,L0027,M0197
630,PD0631,거들,속옷/양말/홈웨어,여성속옷,L0027,M0197
631,PD0632,올인원,속옷/양말/홈웨어,여성속옷,L0027,M0197
632,PD0633,코르셋,속옷/양말/홈웨어,여성속옷,L0027,M0197
633,PD0634,슬립,속옷/양말/홈웨어,여성속옷,L0027,M0197
634,PD0635,여성팬티,속옷/양말/홈웨어,여성속옷,L0027,M0197
635,PD0636,여성런닝셔츠/캐미솔,속옷/양말/홈웨어,여성속옷,L0027,M0197
636,PD0637,여성내의,속옷/양말/홈웨어,여성속옷,L0027,M0197
637,PD0638,여성임부속옷,속옷/양말/홈웨어,여성속옷,L0027,M0197
638,PD0639,여성속옷세트,속옷/양말/홈웨어,여성속옷,L0027,M0197
639,PD0640,기타여성속옷,속옷/양말/홈웨어,여성속옷,L0027,M0197
640,PD0641,여성일반양말,속옷/양말/홈웨어,여성양말류,L0027,M0199
641,PD0642,니삭스/오버니삭스,속옷/양말/홈웨어,여성양말류,L0027,M0199
642,PD0643,여성덧신류,속옷/양말/홈웨어,여성양말류,L0027,M0199
643,PD0644,스타킹,속옷/양말/홈웨어,여성양말류,L0027,M0199
644,PD0645,여성타이즈,속옷/양말/홈웨어,여성양말류,L0027,M0199
645,PD0646,여성캐쥬얼스포츠양말,속옷/양말/홈웨어,여성양말류,L0027,M0199
646,PD0647,여성양말선물세트,속옷/양말/홈웨어,여성양말류,L0027,M0199
647,PD0648,기타여성양말류,속옷/양말/홈웨어,여성양말류,L0027,M0199
648,PD0649,유아동팬티,속옷/양말/홈웨어,유아동속옷,L0027,M0241
649,PD0650,유아동런닝셔츠,속옷/양말/홈웨어,유아동속옷,L0027,M0241
650,PD0651,유아동내의,속옷/양말/홈웨어,유아동속옷,L0027,M0241
651,PD0652,유아동속옷세트,속옷/양말/홈웨어,유아동속옷,L0027,M0241
652,PD0653,유아동일반양말,속옷/양말/홈웨어,유아동양말류,L0027,M0244
653,PD0654,아동니삭스/오버니삭스,속옷/양말/홈웨어,유아동양말류,L0027,M0244
654,PD0655,손싸개/발싸개,속옷/양말/홈웨어,유아동양말류,L0027,M0244
655,PD0656,유아동타이즈,속옷/양말/홈웨어,유아동양말류,L0027,M0244
656,PD0657,유아동캐쥬얼스포츠양말,속옷/양말/홈웨어,유아동양말류,L0027,M0244
657,PD0658,유아동양말선물세트,속옷/양말/홈웨어,유아동양말류,L0027,M0244
658,PD0659,기타유아동양말류,속옷/양말/홈웨어,유아동양말류,L0027,M0244
659,PD0660,여성잠옷,속옷/양말/홈웨어,홈웨어,L0027,M0347
660,PD0661,여성실내복,속옷/양말/홈웨어,홈웨어,L0027,M0347
661,PD0662,여성가운,속옷/양말/홈웨어,홈웨어,L0027,M0347
662,PD0663,남성잠옷,속옷/양말/홈웨어,홈웨어,L0027,M0347
663,PD0664,남성실내복,속옷/양말/홈웨어,홈웨어,L0027,M0347
664,PD0665,남성가운,속옷/양말/홈웨어,홈웨어,L0027,M0347
665,PD0666,여아잠옷,속옷/양말/홈웨어,홈웨어,L0027,M0347
666,PD0667,여아실내복,속옷/양말/홈웨어,홈웨어,L0027,M0347
667,PD0668,여아가운,속옷/양말/홈웨어,홈웨어,L0027,M0347
668,PD0669,남아잠옷,속옷/양말/홈웨어,홈웨어,L0027,M0347
669,PD0670,남아실내복,속옷/양말/홈웨어,홈웨어,L0027,M0347
670,PD0671,홈웨어세트,속옷/양말/홈웨어,홈웨어,L0027,M0347
671,PD0672,해물찌개/탕,수산물,간편조리,L0028,M0006
672,PD0673,조리양념생선,수산물,간편조리,L0028,M0006
673,PD0674,회덮밥,수산물,간편조리,L0028,M0006
674,PD0675,기타간편조리,수산물,간편조리,L0028,M0006
675,PD0676,꽃게,수산물,갑각류,L0028,M0007
676,PD0677,대게,수산물,갑각류,L0028,M0007
677,PD0678,홍게,수산물,갑각류,L0028,M0007
678,PD0679,랍스터,수산물,갑각류,L0028,M0007
679,PD0680,킹크랩,수산물,갑각류,L0028,M0007
680,PD0681,새우,수산물,갑각류,L0028,M0007
681,PD0682,기타게,수산물,갑각류,L0028,M0007
682,PD0683,포장고등어,수산물,냉동포장생선류,L0028,M0080
683,PD0684,포장연어,수산물,냉동포장생선류,L0028,M0080
684,PD0685,포장갈치,수산물,냉동포장생선류,L0028,M0080
685,PD0686,포장날치알,수산물,냉동포장생선류,L0028,M0080
686,PD0687,포장새우살,수산물,냉동포장생선류,L0028,M0080
687,PD0688,포장크랩류,수산물,냉동포장생선류,L0028,M0080
688,PD0689,포장해물류,수산물,냉동포장생선류,L0028,M0080
689,PD0690,명태전감,수산물,냉동포장생선류,L0028,M0080
690,PD0691,기타포장생선,수산물,냉동포장생선류,L0028,M0080
691,PD0692,광어회,수산물,생선회,L0028,M0135
692,PD0693,우럭회,수산물,생선회,L0028,M0135
693,PD0694,도미회,수산물,생선회,L0028,M0135
694,PD0695,문어회,수산물,생선회,L0028,M0135
695,PD0696,도다리회,수산물,생선회,L0028,M0135
696,PD0697,방어회,수산물,생선회,L0028,M0135
697,PD0698,숭어회,수산물,생선회,L0028,M0135
698,PD0699,전어회,수산물,생선회,L0028,M0135
699,PD0700,연어회,수산물,생선회,L0028,M0135
700,PD0701,참치회,수산물,생선회,L0028,M0135
701,PD0702,홍어회,수산물,생선회,L0028,M0135
702,PD0703,모듬회,수산물,생선회,L0028,M0135
703,PD0704,기타회,수산물,생선회,L0028,M0135
704,PD0705,생선선물세트,수산물,수산선물세트,L0028,M0155
705,PD0706,해물선물세트,수산물,수산선물세트,L0028,M0155
706,PD0707,혼합수산선물세트,수산물,수산선물세트,L0028,M0155
707,PD0708,가자미,수산물,어류,L0028,M0192
708,PD0709,갈치,수산물,어류,L0028,M0192
709,PD0710,고등어,수산물,어류,L0028,M0192
710,PD0711,꽁치,수산물,어류,L0028,M0192
711,PD0712,대구,수산물,어류,L0028,M0192
712,PD0713,도미,수산물,어류,L0028,M0192
713,PD0714,명태,수산물,어류,L0028,M0192
714,PD0715,민어,수산물,어류,L0028,M0192
715,PD0716,조기류,수산물,어류,L0028,M0192
716,PD0717,삼치,수산물,어류,L0028,M0192
717,PD0718,아귀,수산물,어류,L0028,M0192
718,PD0719,연어,수산물,어류,L0028,M0192
719,PD0720,우럭,수산물,어류,L0028,M0192
720,PD0721,은어,수산물,어류,L0028,M0192
721,PD0722,임연수,수산물,어류,L0028,M0192
722,PD0723,전어,수산물,어류,L0028,M0192
723,PD0724,장어,수산물,어류,L0028,M0192
724,PD0725,홍어,수산물,어류,L0028,M0192
725,PD0726,생선알,수산물,어류,L0028,M0192
726,PD0727,기타어류,수산물,어류,L0028,M0192
727,PD0728,낙지,수산물,연체류,L0028,M0221
728,PD0729,문어,수산물,연체류,L0028,M0221
729,PD0730,오징어,수산물,연체류,L0028,M0221
730,PD0731,갑오징어,수산물,연체류,L0028,M0221
731,PD0732,한치,수산물,연체류,L0028,M0221
732,PD0733,주꾸미,수산물,연체류,L0028,M0221
733,PD0734,해파리,수산물,연체류,L0028,M0221
734,PD0735,기타연체류,수산물,연체류,L0028,M0221
735,PD0736,미더덕류,수산물,연체류,L0028,M0221
736,PD0737,멍게,수산물,연체류,L0028,M0221
737,PD0738,해삼,수산물,연체류,L0028,M0221
738,PD0739,개조개,수산물,조개류,L0028,M0288
739,PD0740,골뱅이,수산물,조개류,L0028,M0288
740,PD0741,굴,수산물,조개류,L0028,M0288
741,PD0742,꼬막,수산물,조개류,L0028,M0288
742,PD0743,대합,수산물,조개류,L0028,M0288
743,PD0744,모시조개,수산물,조개류,L0028,M0288
744,PD0745,바지락,수산물,조개류,L0028,M0288
745,PD0746,생합,수산물,조개류,L0028,M0288
746,PD0747,소라,수산물,조개류,L0028,M0288
747,PD0748,전복,수산물,조개류,L0028,M0288
748,PD0749,키조개,수산물,조개류,L0028,M0288
749,PD0750,홍합,수산물,조개류,L0028,M0288
750,PD0751,우렁이,수산물,조개류,L0028,M0288
751,PD0752,기타조개류,수산물,조개류,L0028,M0288
752,PD0753,조개살류,수산물,조개류,L0028,M0288
753,PD0754,다시마,수산물,해초류,L0028,M0339
754,PD0755,매생이,수산물,해초류,L0028,M0339
755,PD0756,미역,수산물,해초류,L0028,M0339
756,PD0757,톳,수산물,해초류,L0028,M0339
757,PD0758,파래,수산물,해초류,L0028,M0339
758,PD0759,기타해초류,수산물,해초류,L0028,M0339
759,PD0760,남성골프티셔츠,스포츠패션,남성골프의류,L0029,M0053
760,PD0761,남성골프남방셔츠,스포츠패션,남성골프의류,L0029,M0053
761,PD0762,남성골프니트/가디건,스포츠패션,남성골프의류,L0029,M0053
762,PD0763,남성골프스웨트셔츠/후드/집업,스포츠패션,남성골프의류,L0029,M0053
763,PD0764,남성골프베스트,스포츠패션,남성골프의류,L0029,M0053
764,PD0765,남성골프바지,스포츠패션,남성골프의류,L0029,M0053
765,PD0766,남성골프점퍼/재킷,스포츠패션,남성골프의류,L0029,M0053
766,PD0767,남성골프패딩,스포츠패션,남성골프의류,L0029,M0053
767,PD0768,남성골프의류세트,스포츠패션,남성골프의류,L0029,M0053
768,PD0769,남성등산티셔츠,스포츠패션,남성등산/아웃도어의류,L0029,M0054
769,PD0770,남성등산스웨트셔츠/후드/집업,스포츠패션,남성등산/아웃도어의류,L0029,M0054
770,PD0771,남성등산베스트,스포츠패션,남성등산/아웃도어의류,L0029,M0054
771,PD0772,남성등산바지,스포츠패션,남성등산/아웃도어의류,L0029,M0054
772,PD0773,남성등산점퍼/재킷,스포츠패션,남성등산/아웃도어의류,L0029,M0054
773,PD0774,남성등산패딩,스포츠패션,남성등산/아웃도어의류,L0029,M0054
774,PD0775,남성등산전신,스포츠패션,남성등산/아웃도어의류,L0029,M0054
775,PD0776,남성등산/아웃도어세트,스포츠패션,남성등산/아웃도어의류,L0029,M0054
776,PD0777,남성런닝/트레이닝화,스포츠패션,남성스포츠화,L0029,M0056
777,PD0778,남성스포츠샌들/슬리퍼,스포츠패션,남성스포츠화,L0029,M0056
778,PD0779,남성스포츠화부속품,스포츠패션,남성스포츠화,L0029,M0056
779,PD0780,남성스포츠티셔츠,스포츠패션,남성일반스포츠의류,L0029,M0063
780,PD0781,남성스포츠스웨트셔츠/후드/집업,스포츠패션,남성일반스포츠의류,L0029,M0063
781,PD0782,남성스포츠베스트,스포츠패션,남성일반스포츠의류,L0029,M0063
782,PD0783,남성일반스포츠바지,스포츠패션,남성일반스포츠의류,L0029,M0063
783,PD0784,남성스포츠점퍼/재킷,스포츠패션,남성일반스포츠의류,L0029,M0063
784,PD0785,남성스포츠패딩,스포츠패션,남성일반스포츠의류,L0029,M0063
785,PD0786,남성스포츠전신,스포츠패션,남성일반스포츠의류,L0029,M0063
786,PD0787,남성트레이닝복,스포츠패션,남성일반스포츠의류,L0029,M0063
787,PD0788,남성스포츠속옷,스포츠패션,남성일반스포츠의류,L0029,M0063
788,PD0789,스포츠가방,스포츠패션,스포츠잡화,L0029,M0168
789,PD0790,스포츠선글라스,스포츠패션,스포츠잡화,L0029,M0168
790,PD0791,스포츠두건/머플러/마스크,스포츠패션,스포츠잡화,L0029,M0168
791,PD0792,스포츠넥워머/버프/팔토시,스포츠패션,스포츠잡화,L0029,M0168
792,PD0793,스포츠모자,스포츠패션,스포츠잡화,L0029,M0168
793,PD0794,스포츠양말,스포츠패션,스포츠잡화,L0029,M0168
794,PD0795,스포츠목걸이/팔찌,스포츠패션,스포츠잡화,L0029,M0168
795,PD0796,스포츠아대/헤어밴드,스포츠패션,스포츠잡화,L0029,M0168
796,PD0797,여성골프티셔츠/탑,스포츠패션,여성골프의류,L0029,M0195
797,PD0798,여성골프남방셔츠,스포츠패션,여성골프의류,L0029,M0195
798,PD0799,여성골프니트/가디건,스포츠패션,여성골프의류,L0029,M0195
799,PD0800,여성골프스웨트셔츠/후드/집업,스포츠패션,여성골프의류,L0029,M0195
800,PD0801,여성골프베스트,스포츠패션,여성골프의류,L0029,M0195
801,PD0802,여성골프바지,스포츠패션,여성골프의류,L0029,M0195
802,PD0803,여성골프스커트,스포츠패션,여성골프의류,L0029,M0195
803,PD0804,여성골프점퍼/재킷,스포츠패션,여성골프의류,L0029,M0195
804,PD0805,여성골프패딩,스포츠패션,여성골프의류,L0029,M0195
805,PD0806,여성골프전신/원피스,스포츠패션,여성골프의류,L0029,M0195
806,PD0807,여성골프의류세트,스포츠패션,여성골프의류,L0029,M0195
807,PD0808,여성등산티셔츠/탑,스포츠패션,여성등산/아웃도어의류,L0029,M0196
808,PD0809,여성등산스웨트셔츠/후드/집업,스포츠패션,여성등산/아웃도어의류,L0029,M0196
809,PD0810,여성등산베스트,스포츠패션,여성등산/아웃도어의류,L0029,M0196
810,PD0811,여성등산바지,스포츠패션,여성등산/아웃도어의류,L0029,M0196
811,PD0812,여성등산점퍼/재킷,스포츠패션,여성등산/아웃도어의류,L0029,M0196
812,PD0813,여성등산패딩,스포츠패션,여성등산/아웃도어의류,L0029,M0196
813,PD0814,여성등산전신/원피스,스포츠패션,여성등산/아웃도어의류,L0029,M0196
